,mse,rmse,mae,r2,correlation
best_model_epoch_1_val_loss_0.3062,0.28604537,0.5348321,0.41791493,0.45550018548965454,0.6860454579085278
best_model_epoch_9_val_loss_0.3011,0.26290473,0.51274234,0.4009893,0.49954938888549805,0.7087362810807256
